delivery_date,afternoon_average,evening_average,difference,day_type,period
2026-07-14,6.945833,120.219375,113.273542,Weekday,Earlier sample
2026-07-15,68.861667,117.169375,48.307708,Weekday,Earlier sample
2026-07-16,6.250000,174.561875,168.311875,Weekday,Earlier sample
2026-07-17,11.258333,80.528125,69.269792,Weekday,Earlier sample
2026-07-18,7.779167,73.716875,65.937708,Weekend,Earlier sample
2026-07-19,0.118333,60.903125,60.784792,Weekend,Earlier sample
2026-07-20,17.124167,76.853125,59.728958,Weekday,Earlier sample
2026-07-21,19.780000,110.681875,90.901875,Weekday,Earlier sample
2026-07-22,21.277500,124.925625,103.648125,Weekday,Earlier sample
2026-07-23,18.672500,157.149375,138.476875,Weekday,Earlier sample
2026-07-24,8.966667,100.523750,91.557083,Weekday,Earlier sample
2026-07-25,2.630000,41.460625,38.830625,Weekend,Earlier sample
2026-07-26,0.005000,47.069375,47.064375,Weekend,Earlier sample
2026-07-27,17.359167,20.393750,3.034583,Weekday,Earlier sample
2026-07-28,2.091667,44.376875,42.285208,Weekday,Earlier sample
2026-07-29,10.630833,99.859375,89.228542,Weekday,Earlier sample
2026-07-30,5.771667,77.060625,71.288958,Weekday,Earlier sample
2026-07-31,4.933333,50.929375,45.996042,Weekday,Earlier sample
2026-08-01,11.307500,71.347500,60.040000,Weekend,Earlier sample
2026-08-02,3.802500,29.198125,25.395625,Weekend,Earlier sample
2026-08-03,16.645000,78.685000,62.040000,Weekday,Earlier sample
2026-08-04,22.095000,128.406875,106.311875,Weekday,Earlier sample
2026-08-05,20.588333,100.408750,79.820417,Weekday,Earlier sample
2026-08-06,2.716667,16.021250,13.304583,Weekday,Earlier sample
2026-08-07,4.040000,22.814375,18.774375,Weekday,Earlier sample
2026-08-08,0.806667,30.783125,29.976458,Weekend,Earlier sample
2026-08-09,0.008333,11.346250,11.337917,Weekend,Earlier sample
2026-08-10,6.965833,30.579375,23.613542,Weekday,Earlier sample
2026-08-11,1.592500,61.021875,59.429375,Weekday,Original sample
2026-08-12,20.109167,139.773750,119.664583,Weekday,Original sample
2026-08-13,50.246667,211.788125,161.541458,Weekday,Original sample
2026-08-14,30.948333,136.645625,105.697292,Weekday,Original sample
2026-08-15,11.377500,39.615625,28.238125,Weekend,Original sample
2026-08-16,6.095833,16.343750,10.247917,Weekend,Original sample
2026-08-17,12.855833,178.459375,165.603542,Weekday,Original sample
2026-08-18,130.280000,215.225000,84.945000,Weekday,Original sample
2026-08-19,130.296667,183.950000,53.653333,Weekday,Original sample
2026-08-20,80.059167,154.080000,74.020833,Weekday,Original sample
2026-08-21,97.217500,175.248125,78.030625,Weekday,Original sample
2026-08-22,35.336667,62.552500,27.215833,Weekend,Original sample
2026-08-23,1.668333,9.914375,8.246042,Weekend,Original sample
2026-08-24,22.793333,84.673750,61.880417,Weekday,Original sample
2026-08-25,69.010833,195.563125,126.552292,Weekday,Original sample
2026-08-26,77.414167,160.865625,83.451458,Weekday,Original sample
2026-08-27,75.324167,193.645000,118.320833,Weekday,Original sample
2026-08-28,30.794167,35.580625,4.786458,Weekday,Original sample
2026-08-29,2.124167,144.373125,142.248958,Weekend,Original sample
2026-08-30,14.870833,110.000000,95.129167,Weekend,Original sample
2026-08-31,50.782500,242.393750,191.611250,Weekday,Original sample
2026-09-01,95.070000,161.573750,66.503750,Weekday,Original sample
2026-09-02,41.442500,73.332500,31.890000,Weekday,Original sample
2026-09-03,37.348333,98.233125,60.884792,Weekday,Original sample
2026-09-04,52.935833,116.366250,63.430417,Weekday,Original sample
2026-09-05,4.736667,18.824375,14.087708,Weekend,Original sample
2026-09-06,2.045000,31.694375,29.649375,Weekend,Original sample
2026-09-07,27.765000,16.210625,-11.554375,Weekday,Original sample
