local_hour,mean,median,p25,p75
0,73.563929,58.540000,15.450625,121.497500
1,52.784821,32.268750,16.543750,66.111250
2,46.272232,32.111250,13.363125,53.999375
3,46.848839,36.590000,13.725625,56.805000
4,49.936786,34.663750,8.623125,92.136250
5,46.691161,33.083750,16.892500,50.516250
6,64.376071,41.685000,16.190000,111.738125
7,76.773036,71.847500,23.775625,133.997500
8,84.310000,85.398750,29.231250,140.909375
9,82.896696,84.810000,26.238125,126.613125
10,69.687232,69.565000,21.580000,117.067500
11,57.644196,48.441250,17.523125,84.543750
12,50.050268,39.475000,16.012500,72.449375
13,45.131518,34.873750,14.123125,71.367500
14,42.139732,32.201250,11.568750,69.660000
15,42.643929,32.867500,12.490625,70.740000
16,46.728125,35.681250,16.710000,76.950625
17,55.344821,42.580000,24.880625,92.848750
18,81.243839,58.710000,41.337500,136.608750
19,111.350982,94.640000,54.848750,177.445625
20,126.608036,124.838750,62.123125,181.085000
21,122.249375,125.028750,45.948750,186.581875
22,106.641339,128.145000,37.254375,173.983125
23,82.848750,79.610000,24.344375,135.902500
