delivery_date,afternoon_average,evening_average,difference,day_type
2026-08-11,1.592500,61.021875,59.429375,Weekday
2026-08-12,20.109167,139.773750,119.664583,Weekday
2026-08-13,50.246667,211.788125,161.541458,Weekday
2026-08-14,30.948333,136.645625,105.697292,Weekday
2026-08-15,11.377500,39.615625,28.238125,Weekend
2026-08-16,6.095833,16.343750,10.247917,Weekend
2026-08-17,12.855833,178.459375,165.603542,Weekday
2026-08-18,130.280000,215.225000,84.945000,Weekday
2026-08-19,130.296667,183.950000,53.653333,Weekday
2026-08-20,80.059167,154.080000,74.020833,Weekday
2026-08-21,97.217500,175.248125,78.030625,Weekday
2026-08-22,35.336667,62.552500,27.215833,Weekend
2026-08-23,1.668333,9.914375,8.246042,Weekend
2026-08-24,22.793333,84.673750,61.880417,Weekday
2026-08-25,69.010833,195.563125,126.552292,Weekday
2026-08-26,77.414167,160.865625,83.451458,Weekday
2026-08-27,75.324167,193.645000,118.320833,Weekday
2026-08-28,30.794167,35.580625,4.786458,Weekday
2026-08-29,2.124167,144.373125,142.248958,Weekend
2026-08-30,14.870833,110.000000,95.129167,Weekend
2026-08-31,50.782500,242.393750,191.611250,Weekday
2026-09-01,95.070000,161.573750,66.503750,Weekday
2026-09-02,41.442500,73.332500,31.890000,Weekday
2026-09-03,37.348333,98.233125,60.884792,Weekday
2026-09-04,52.935833,116.366250,63.430417,Weekday
2026-09-05,4.736667,18.824375,14.087708,Weekend
2026-09-06,2.045000,31.694375,29.649375,Weekend
2026-09-07,27.765000,16.210625,-11.554375,Weekday
